FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
3.964446445,0.007678035,0.003369840,0.013077593
4.015639064,0.007784306,0.003401360,0.013157895
4.066831683,0.007955546,0.003421728,0.013404826
4.118024302,0.008173439,0.003442341,0.013733906
4.169216922,0.008305563,0.003518030,0.013793103
4.220409541,0.008380680,0.003600360,0.013854931
4.271602160,0.008421032,0.003600360,0.013863216
4.322794779,0.008466747,0.003909304,0.013925152
4.373987399,0.008576872,0.003937008,0.014035088
4.425180018,0.008706206,0.004061738,0.014418999
4.476372637,0.008930936,0.004201681,0.014787431
4.527565257,0.009162175,0.004262574,0.014873140
4.578757876,0.009353614,0.004273504,0.015075377
4.629950495,0.009543140,0.004288164,0.015490534
4.681143114,0.009761590,0.004870130,0.015625000
4.732335734,0.009946068,0.004962779,0.015665796
4.783528353,0.010059791,0.005012531,0.015846539
4.834720972,0.010111966,0.005012531,0.015846539
4.885913591,0.010126321,0.005012531,0.015899582
4.937106211,0.010138461,0.005054760,0.015899582
4.988298830,0.010138461,0.005054760,0.015899582
5.039491449,0.010138461,0.005054760,0.015899582
5.090684068,0.010138461,0.005054760,0.015899582
5.141876688,0.010138461,0.005054760,0.015899582
5.193069307,0.010138461,0.005054760,0.015899582
5.244261926,0.010138461,0.005054760,0.015899582
5.295454545,0.010138461,0.005054760,0.015899582
5.346647165,0.010138461,0.005054760,0.015899582
5.397839784,0.010138461,0.005054760,0.015899582
5.449032403,0.010138461,0.005054760,0.015899582
5.500225023,0.010138461,0.005054760,0.015899582
5.551417642,0.010138461,0.005054760,0.015899582
5.602610261,0.010140201,0.005054760,0.015899582
5.653802880,0.010141009,0.005054760,0.015899582
5.704995500,0.010147708,0.005054760,0.015899582
5.756188119,0.010191674,0.005054760,0.016155088
5.807380738,0.010245873,0.005054760,0.016197784
5.858573357,0.010347040,0.005145798,0.016493056
5.909765977,0.010478140,0.005185825,0.016493056
5.960958596,0.010633954,0.005323869,0.016652059
6.012151215,0.010789040,0.005424955,0.017101711
6.063343834,0.010902593,0.005766063,0.017128874
6.114536454,0.010982272,0.005828476,0.017184943
6.165729073,0.011087405,0.005847953,0.017213115
6.216921692,0.011190838,0.005847953,0.017509727
6.268114311,0.011382781,0.005897220,0.017872341
6.319306931,0.011646440,0.005982906,0.018227009
6.370499550,0.011986204,0.006050129,0.018482490
6.421692169,0.012379577,0.006436042,0.019262981
6.472884788,0.012758206,0.006617039,0.019965278
6.524077408,0.013116942,0.007148531,0.020151133
6.575270027,0.013475365,0.007279345,0.020833334
6.626462646,0.013793523,0.007444169,0.020990765
6.677655266,0.014038497,0.007646559,0.021189895
6.728847885,0.014248261,0.007685739,0.021294022
6.780040504,0.014392697,0.007818609,0.021385800
6.831233123,0.014537732,0.008176615,0.021892102
6.882425743,0.014670755,0.008396306,0.022071308
6.933618362,0.014803015,0.008532424,0.022071308
6.984810981,0.014921597,0.008532424,0.022071308
7.036003600,0.015027605,0.008613264,0.022113021
7.087196220,0.015094812,0.008654603,0.022277229
7.138388839,0.015144776,0.008654603,0.022310756
7.189581458,0.015210716,0.008654603,0.022670025
7.240774077,0.015288913,0.008737093,0.022727273
7.291966697,0.015381371,0.008828251,0.023090586
7.343159316,0.015485048,0.008849557,0.023217248
7.394351935,0.015619502,0.009098428,0.023769099
7.445544554,0.015742198,0.009098428,0.023809524
7.496737174,0.015829533,0.009098428,0.023829088
7.547929793,0.015888996,0.009235936,0.023904383
7.599122412,0.015919242,0.009235936,0.023927392
7.650315032,0.015930170,0.009235936,0.023927392
7.701507651,0.015933545,0.009235936,0.023927392
7.752700270,0.015938429,0.009235936,0.023927392
7.803892889,0.015938429,0.009235936,0.023927392
7.855085509,0.015938429,0.009235936,0.023927392
7.906278128,0.015938429,0.009235936,0.023927392
7.957470747,0.015938429,0.009235936,0.023927392
8.008663366,0.015938429,0.009235936,0.023927392
8.059855986,0.015938429,0.009235936,0.023927392
8.111048605,0.015942615,0.009235936,0.023927392
8.162241224,0.015945945,0.009235936,0.023927392
8.213433843,0.015957896,0.009235936,0.023927392
8.264626463,0.015973829,0.009235936,0.023927392
8.315819082,0.016009873,0.009235936,0.023927392
8.367011701,0.016052546,0.009385666,0.023978686
8.418204320,0.016133679,0.009507347,0.024013722
8.469396940,0.016238619,0.009531374,0.024013722
8.520589559,0.016353432,0.009630819,0.024410775
8.571782178,0.016489949,0.009786477,0.024590164
8.622974797,0.016671684,0.010008341,0.024590164
8.674167417,0.016785992,0.010092515,0.024772914
8.725360036,0.016955163,0.010247651,0.024958402
8.776552655,0.017085269,0.010433387,0.025202520
8.827745275,0.017222714,0.010577706,0.025368249
8.878937894,0.017336624,0.010577706,0.025368249
8.930130513,0.017419208,0.010577706,0.025368249
8.981323132,0.017503470,0.010629599,0.025577558
9.032515752,0.017547509,0.010629599,0.025577558
9.083708371,0.017583303,0.010951980,0.025598679
9.134900990,0.017594442,0.010951980,0.025598679
9.186093609,0.017600128,0.010951980,0.025598679
9.237286229,0.017601002,0.010951980,0.025598679
9.288478848,0.017602745,0.010951980,0.025598679
9.339671467,0.017603528,0.010951980,0.025598679
9.390864086,0.017603528,0.010951980,0.025598679
9.442056706,0.017606033,0.010951980,0.025598679
9.493249325,0.017606033,0.010951980,0.025598679
9.544441944,0.017614989,0.010951980,0.025598679
9.595634563,0.017630067,0.010951980,0.025598679
9.646827183,0.017659206,0.010951980,0.025768911
9.698019802,0.017685227,0.010951980,0.025768911
9.749212421,0.017760783,0.010951980,0.025795357
9.800405041,0.017846804,0.010951980,0.025854880
9.851597660,0.017932273,0.011263073,0.026094276
9.902790279,0.018024823,0.011263073,0.026143791
9.953982898,0.018144229,0.011333914,0.026186580
10.005175518,0.018244959,0.011413520,0.026254827
10.056368137,0.018307526,0.011433597,0.026424443
10.107560756,0.018356223,0.011463845,0.026583267
10.158753375,0.018391436,0.011565836,0.026583267
10.209945995,0.018413797,0.011676397,0.026583267
10.261138614,0.018430771,0.011727912,0.026583267
10.312331233,0.018430771,0.011727912,0.026583267
10.363523852,0.018435059,0.011727912,0.026583267
10.414716472,0.018440114,0.011727912,0.026583267
10.465909091,0.018445138,0.011727912,0.026583267
10.517101710,0.018452549,0.011727912,0.026583267
10.568294329,0.018467715,0.011727912,0.026583267
10.619486949,0.018485596,0.011727912,0.026609441
10.670679568,0.018512901,0.011727912,0.026622295
10.721872187,0.018549249,0.011961723,0.026622295
10.773064806,0.018622397,0.011961723,0.026688907
10.824257426,0.018717786,0.012006861,0.026785715
10.875450045,0.018803582,0.012017167,0.026829269
10.926642664,0.018914361,0.012017167,0.026845638
10.977835284,0.019031830,0.012027492,0.026868178
11.029027903,0.019179478,0.012038523,0.027164686
11.080220522,0.019308850,0.012067579,0.027257239
11.131413141,0.019475475,0.012106538,0.027678572
11.182605761,0.019620765,0.012594459,0.027777778
11.233798380,0.019792888,0.012841091,0.028146990
11.284990999,0.019972654,0.012913640,0.028386051
11.336183618,0.020158619,0.012913640,0.028665029
11.387376238,0.020341750,0.013032146,0.028901733
11.438568857,0.020501504,0.013032146,0.029093932
11.489761476,0.020646768,0.013082583,0.029234737
11.540954095,0.020746937,0.013245033,0.029343629
11.592146715,0.020816185,0.013262600,0.029702971
11.643339334,0.020877872,0.013278008,0.029761905
11.694531953,0.020934956,0.013278008,0.029772330
11.745724572,0.020967266,0.013434089,0.029772330
11.796917192,0.020997815,0.013434089,0.029787235
11.848109811,0.021057064,0.013492064,0.029864253
11.899302430,0.021124709,0.013570823,0.029950082
11.950495050,0.021217693,0.013570823,0.030226700
12.001687669,0.021339852,0.013605442,0.030357143
12.052880288,0.021478908,0.013675214,0.030664396
12.104072907,0.021672476,0.013731825,0.030937215
12.155265527,0.021886708,0.013900246,0.031075697
12.206458146,0.022129128,0.014492754,0.031168832
12.257650765,0.022362964,0.014592275,0.031509120
12.308843384,0.022623060,0.014827018,0.031596925
12.360036004,0.022792568,0.014827018,0.031693079
12.411228623,0.023026463,0.015113350,0.031784840
12.462421242,0.023189250,0.015358361,0.032204788
12.513613861,0.023326255,0.015434606,0.032204788
12.564806481,0.023410644,0.015510204,0.032367975
12.615999100,0.023468144,0.015561015,0.032445922
12.667191719,0.023510775,0.015637217,0.032445922
12.718384338,0.023545302,0.015637217,0.032445922
12.769576958,0.023553655,0.015637217,0.032445922
12.820769577,0.023556983,0.015637217,0.032445922
12.871962196,0.023559550,0.015637217,0.032445922
12.923154815,0.023566257,0.015637217,0.032445922
12.974347435,0.023573736,0.015637217,0.032541778
13.025540054,0.023581378,0.015637217,0.032541778
13.076732673,0.023610951,0.015637217,0.032541778
13.127925293,0.023637924,0.015676567,0.032598276
13.179117912,0.023675792,0.015676567,0.032867707
13.230310531,0.023740100,0.015676567,0.032888889
13.281503150,0.023818076,0.015715467,0.033065237
13.332695770,0.023919439,0.015715467,0.033191491
13.383888389,0.024059689,0.015715467,0.033204634
13.435081008,0.024227448,0.015929203,0.033274956
13.486273627,0.024386400,0.016155088,0.033766232
13.537466247,0.024537593,0.016323024,0.033996683
13.588658866,0.024712231,0.016380016,0.033996683
13.639851485,0.024859244,0.016474465,0.034013607
13.691044104,0.025031809,0.016666668,0.034195162
13.742236724,0.025167195,0.016799293,0.034423407
13.793429343,0.025287300,0.016829053,0.034515820
13.844621962,0.025401566,0.017094018,0.034812883
13.895814581,0.025523124,0.017152658,0.034852546
13.947007201,0.025677288,0.017179023,0.034970857
13.998199820,0.025869256,0.017199017,0.035234898
14.049392439,0.026018251,0.017312448,0.035714287
14.100585059,0.026180416,0.017632242,0.035714287
14.151777678,0.026356453,0.017770598,0.035773709
14.202970297,0.026545826,0.017988553,0.035992216
14.254162916,0.026706051,0.018095987,0.036113501
14.305355536,0.026858486,0.018166089,0.036115568
14.356548155,0.027034158,0.018253969,0.036476869
14.407740774,0.027220348,0.018600531,0.036764707
14.458933393,0.027392197,0.018707482,0.037294015
14.510126013,0.027553055,0.018764660,0.037456445
14.561318632,0.027729454,0.018921476,0.037865750
14.612511251,0.027881229,0.019097222,0.037865750
14.663703870,0.028013466,0.019180471,0.038095240
14.714896490,0.028154209,0.019349165,0.038095240
14.766089109,0.028280759,0.019591141,0.038095240
14.817281728,0.028399181,0.019658120,0.038194444
14.868474347,0.028512392,0.019685039,0.038301416
14.919666967,0.028579915,0.019896194,0.038301416
14.970859586,0.028651247,0.019896194,0.038301416
15.022052205,0.028717156,0.019936204,0.038590603
15.073244824,0.028788369,0.020016681,0.038619556
15.124437444,0.028866567,0.020016681,0.038619556
15.175630063,0.028918553,0.020193152,0.038651317
15.226822682,0.028999610,0.020328382,0.038826574
15.278015302,0.029082015,0.020328382,0.038826574
15.329207921,0.029143021,0.020372011,0.038826574
15.380400540,0.029205434,0.020390823,0.038961038
15.431593159,0.029270893,0.020442931,0.039007094
15.482785779,0.029319935,0.020442931,0.039007094
15.533978398,0.029366322,0.020442931,0.039115645
15.585171017,0.029418854,0.020456333,0.039134055
15.636363636,0.029447449,0.020456333,0.039134055
15.687556256,0.029485365,0.020456333,0.039282665
15.738748875,0.029516619,0.020460358,0.039552882
15.789941494,0.029555215,0.020512821,0.040033363
15.841134113,0.029598504,0.020530367,0.040033363
15.892326733,0.029646851,0.020530367,0.040033363
15.943519352,0.029701144,0.021011673,0.040033363
15.994711971,0.029759699,0.021011673,0.040035587
16.045904590,0.029851153,0.021204410,0.040128410
16.097097210,0.029920466,0.021294719,0.040128410
16.148289829,0.029998835,0.021294719,0.040131040
16.199482448,0.030088842,0.021294719,0.040308747
16.250675068,0.030205319,0.021294719,0.040412724
16.301867687,0.030303882,0.021434460,0.040429045
16.353060306,0.030404232,0.021434460,0.040482342
16.404252925,0.030527256,0.021445591,0.040925268
16.455445545,0.030648211,0.021701388,0.041176472
16.506638164,0.030802777,0.021926390,0.041459370
16.557830783,0.030962424,0.022047244,0.041486602
16.609023402,0.031132184,0.022298457,0.041906327
16.660216022,0.031325914,0.022556391,0.042457093
16.711408641,0.031540480,0.022556391,0.042881645
16.762601260,0.031727381,0.022556391,0.042881645
16.813793879,0.031943731,0.022556391,0.042929292
16.864986499,0.032137603,0.022782750,0.042929292
16.916179118,0.032359824,0.022920204,0.043140639
16.967371737,0.032551736,0.023076924,0.043360434
17.018564356,0.032748070,0.023156090,0.043360434
17.069756976,0.032930329,0.023175966,0.043367349
17.120949595,0.033109065,0.023405973,0.043745205
17.172142214,0.033264980,0.024186822,0.044141252
17.223334833,0.033387400,0.024200518,0.044141252
17.274527453,0.033489607,0.024200518,0.044189852
17.325720072,0.033604156,0.024242423,0.044217687
17.376912691,0.033699490,0.024410089,0.044217687
17.428105311,0.033802010,0.024410089,0.044217687
17.479297930,0.033910241,0.024549918,0.044263776
17.530490549,0.034023315,0.024549918,0.044612795
17.581683168,0.034134559,0.024793388,0.044850498
17.632875788,0.034213785,0.024866786,0.045013238
17.684068407,0.034332857,0.025020178,0.045280121
17.735261026,0.034462005,0.025020178,0.045280121
17.786453645,0.034600072,0.025020178,0.045571797
17.837646265,0.034695975,0.025020178,0.045605306
17.888838884,0.034784775,0.025020851,0.045669291
17.940031503,0.034900058,0.025543993,0.045746390
17.991224122,0.034990262,0.025619835,0.045795172
18.042416742,0.035088576,0.025619835,0.045996591
18.093609361,0.035155877,0.025619835,0.046006944
18.144801980,0.035218086,0.025680933,0.046263345
18.195994599,0.035277009,0.025751073,0.046296295
18.247187219,0.035328861,0.025751073,0.046644844
18.298379838,0.035378259,0.025751073,0.046644844
18.349572457,0.035441481,0.025751073,0.046683047
18.400765077,0.035487965,0.025754884,0.046721313
18.451957696,0.035552710,0.025777778,0.046753246
18.503150315,0.035629608,0.025777778,0.046768706
18.554342934,0.035717487,0.025854880,0.046815041
18.605535554,0.035828583,0.025974026,0.046848383
18.656728173,0.035941780,0.026086956,0.046956521
18.707920792,0.036057852,0.026315790,0.047332186
18.759113411,0.036192529,0.026387624,0.047619049
18.810306031,0.036310423,0.026387624,0.047899161
18.861498650,0.036405481,0.026387624,0.048027445
18.912691269,0.036519304,0.026387624,0.048092868
18.963883888,0.036619619,0.026586620,0.048092868
19.015076508,0.036723737,0.026586620,0.048281506
19.066269127,0.036811177,0.026690392,0.048281506
19.117461746,0.036898796,0.026982829,0.048321050
19.168654365,0.036964562,0.027257239,0.048321050
19.219846985,0.037021887,0.027257239,0.048469387
19.271039604,0.037074335,0.027272727,0.048469387
19.322232223,0.037122678,0.027272727,0.048543688
19.373424842,0.037174441,0.027272727,0.048648648
19.424617462,0.037211940,0.027272727,0.048648648
19.475810081,0.037261534,0.027431421,0.048657719
19.527002700,0.037324179,0.027531084,0.048657719
19.578195320,0.037395604,0.027531084,0.049003322
19.629387939,0.037463941,0.027531084,0.049011178
19.680580558,0.037531585,0.027580071,0.049069375
19.731773177,0.037610739,0.027619822,0.049099836
19.782965797,0.037688009,0.027619822,0.049265340
19.834158416,0.037780549,0.027619822,0.049265340
19.885351035,0.037870757,0.027910685,0.049265340
19.936543654,0.037963495,0.028109029,0.049265340
19.987736274,0.038053244,0.028122416,0.049265340
20.038928893,0.038143892,0.028122416,0.049265340
20.090121512,0.038239677,0.028122416,0.049445864
20.141314131,0.038355239,0.028122416,0.050170068
20.192506751,0.038458560,0.028146990,0.050434783
20.243699370,0.038555328,0.028146990,0.050450452
20.294891989,0.038670458,0.028146990,0.050478678
20.346084608,0.038810205,0.028262677,0.050561797
20.397277228,0.038938150,0.028432168,0.050561797
20.448469847,0.039061073,0.028444445,0.050711744
20.499662466,0.039208405,0.028830312,0.050905954
20.550855086,0.039378136,0.029184550,0.051150896
20.602047705,0.039551016,0.029435813,0.051364366
20.653240324,0.039729353,0.029505583,0.051618546
20.704432943,0.039924815,0.029686175,0.051870748
20.755625563,0.040098865,0.029711375,0.052003410
20.806818182,0.040315457,0.030042918,0.052173913
20.858010801,0.040506613,0.030075189,0.052585453
20.909203420,0.040742502,0.030204082,0.052677028
20.960396040,0.040956110,0.030253476,0.052956752
21.011588659,0.041181553,0.030303031,0.053471670
21.062781278,0.041387953,0.030769231,0.053959966
21.113973897,0.041582815,0.031195840,0.053959966
21.165166517,0.041778427,0.031382527,0.054338299
21.216359136,0.041971028,0.031471282,0.054338299
21.267551755,0.042154480,0.031670626,0.054357205
21.318744374,0.042358391,0.031670626,0.054574639
21.369936994,0.042491771,0.031670626,0.054782610
21.421129613,0.042662725,0.031732418,0.054828152
21.472322232,0.042825110,0.031759657,0.054954205
21.523514851,0.042955879,0.031971581,0.055369128
21.574707471,0.043064378,0.031971581,0.055369128
21.625900090,0.043205656,0.032312926,0.055413470
21.677092709,0.043359626,0.032312926,0.055462185
21.728285329,0.043493543,0.032513183,0.055786844
21.779477948,0.043665629,0.032599118,0.056091148
21.830670567,0.043818526,0.032695375,0.056464810
21.881863186,0.043988112,0.032928944,0.056557376
21.933055806,0.044136304,0.033135090,0.056557376
21.984248425,0.044284236,0.033135090,0.056619484
22.035441044,0.044451483,0.033158813,0.056664005
22.086633663,0.044602290,0.033304118,0.056967571
22.137826283,0.044747390,0.033480175,0.056972791
22.189018902,0.044870254,0.033480175,0.057118498
22.240211521,0.044979628,0.033492822,0.057118498
22.291404140,0.045090742,0.033496734,0.057377048
22.342596760,0.045200013,0.033496734,0.057462092
22.393789379,0.045298651,0.033777777,0.057565790
22.444981998,0.045375697,0.033777777,0.057565790
22.496174617,0.045436662,0.034129694,0.057858378
22.547367237,0.045515779,0.034129694,0.057858378
22.598559856,0.045561057,0.034166668,0.057885908
22.649752475,0.045595527,0.034195162,0.057885908
22.700945095,0.045625161,0.034195162,0.058159724
22.752137714,0.045660026,0.034195162,0.058159724
22.803330333,0.045685548,0.034241244,0.058381986
22.854522952,0.045727309,0.034241244,0.058381986
22.905715572,0.045767616,0.034270652,0.058671270
22.956908191,0.045831390,0.034270652,0.058671270
23.008100810,0.045896035,0.034270652,0.058687259
23.059293429,0.045972876,0.034270652,0.058771148
23.110486049,0.046071503,0.034455754,0.058968060
23.161678668,0.046197344,0.034635879,0.058968060
23.212871287,0.046350930,0.034635879,0.058970101
23.264063906,0.046518482,0.034710743,0.059645854
23.315256526,0.046716448,0.034766696,0.060050040
23.366449145,0.046926156,0.035004731,0.060577821
23.417641764,0.047201820,0.035180300,0.060629316
23.468834383,0.047470268,0.035652176,0.060631230
23.520027003,0.047710758,0.035839159,0.061049011
23.571219622,0.048003640,0.035977107,0.061241612
23.622412241,0.048258007,0.036059808,0.061261263
23.673604860,0.048586082,0.036300778,0.061461795
23.724797480,0.048837028,0.036315322,0.062162161
23.775990099,0.049092401,0.036412079,0.062441751
23.827182718,0.049395774,0.036496349,0.062447257
23.878375338,0.049623542,0.036555644,0.062500000
23.929567957,0.049863011,0.037246965,0.062552124
23.980760576,0.050063670,0.037366547,0.062888198
24.031953195,0.050254479,0.037367992,0.062992126
24.083145815,0.050433625,0.037818823,0.063078217
24.134338434,0.050609030,0.038071066,0.063078217
24.185531053,0.050756011,0.038071066,0.063291140
24.236723672,0.050885893,0.038430091,0.063373722
24.287916292,0.050990462,0.038430091,0.063478261
24.339108911,0.051113676,0.038664322,0.063548103
24.390301530,0.051209010,0.038842976,0.063621536
24.441494149,0.051272646,0.038866397,0.063829787
24.492686769,0.051329039,0.039154269,0.063829787
24.543879388,0.051393516,0.039182283,0.063829787
24.595072007,0.051436447,0.039182283,0.063848145
24.646264626,0.051477663,0.039215688,0.063848145
24.697457246,0.051504128,0.039215688,0.063848145
24.748649865,0.051535323,0.039215688,0.063848145
24.799842484,0.051560577,0.039215688,0.064227641
24.851035104,0.051581163,0.039516129,0.064227641
24.902227723,0.051602993,0.039516129,0.064227641
24.953420342,0.051626079,0.039516129,0.064322472
25.004612961,0.051643800,0.039516129,0.064322472
25.055805581,0.051674694,0.039516129,0.064322472
25.106998200,0.051691703,0.039669421,0.064322472
25.158190819,0.051716905,0.039669421,0.064360417
25.209383438,0.051740561,0.039669421,0.064360417
25.260576058,0.051783212,0.039669421,0.064381272
25.311768677,0.051813912,0.039669421,0.064381272
25.362961296,0.051867157,0.039676115,0.064486831
25.414153915,0.051932361,0.039676115,0.064566933
25.465346535,0.052000292,0.039676115,0.064648114
25.516539154,0.052060746,0.039676115,0.064760305
25.567731773,0.052118827,0.039676115,0.064760305
25.618924392,0.052193016,0.039676115,0.064760305
25.670117012,0.052266583,0.039763112,0.064913720
25.721309631,0.052358694,0.039805036,0.065237649
25.772502250,0.052457772,0.039937355,0.065502182
25.823694869,0.052575044,0.039964475,0.065637067
25.874887489,0.052703105,0.039999999,0.065993786
25.926080108,0.052844387,0.040068202,0.065993786
25.977272727,0.052953735,0.040068202,0.066219613
26.028465347,0.053080454,0.040170942,0.066436581
26.079657966,0.053195525,0.040170942,0.066436581
26.130850585,0.053305946,0.040170942,0.066455700
26.182043204,0.053400356,0.040170942,0.066557109
26.233235824,0.053531967,0.040170942,0.066557109
26.284428443,0.053673495,0.040322579,0.066666670
26.335621062,0.053788569,0.040386304,0.066666670
26.386813681,0.053893384,0.040386304,0.066666670
26.438006301,0.053982247,0.040833332,0.066722266
26.489198920,0.054096356,0.040833332,0.067315489
26.540391539,0.054220285,0.040885862,0.067699835
26.591584158,0.054319203,0.040885862,0.067699835
26.642776778,0.054440230,0.041211102,0.068119891
26.693969397,0.054574147,0.041429732,0.068119891
26.745162016,0.054680161,0.041777778,0.068503939
26.796354635,0.054773271,0.041777778,0.068561874
26.847547255,0.054873642,0.041777778,0.068561874
26.898739874,0.054969404,0.041837573,0.068561874
26.949932493,0.055058733,0.041837573,0.068561874
27.001125113,0.055164117,0.041958041,0.068787619
27.052317732,0.055263158,0.041958041,0.068787619
27.103510351,0.055359848,0.041958041,0.068787619
27.154702970,0.055458479,0.042242080,0.069022186
27.205895590,0.055554908,0.042301185,0.069053710
27.257088209,0.055647019,0.042387545,0.069099382
27.308280828,0.055735447,0.042586751,0.069331162
27.359473447,0.055824671,0.042586751,0.069331162
27.410666067,0.055927232,0.042645779,0.069331162
27.461858686,0.056018874,0.043375395,0.069444448
27.513051305,0.056108795,0.043375395,0.069444448
27.564243924,0.056181282,0.043375395,0.069455408
27.615436544,0.056284454,0.043375395,0.069456071
27.666629163,0.056351554,0.043579768,0.069456071
27.717821782,0.056458402,0.043706294,0.069647461
27.769014401,0.056557696,0.043706294,0.069647461
27.820207021,0.056691017,0.043706294,0.069647461
27.871399640,0.056847442,0.043837883,0.069843881
27.922592259,0.056971941,0.043837883,0.069887832
27.973784878,0.057090990,0.044286981,0.070434071
28.024977498,0.057227436,0.044293016,0.070434071
28.076170117,0.057376120,0.044347826,0.070434071
28.127362736,0.057520781,0.044444446,0.070892408
28.178555356,0.057662323,0.044679124,0.070892408
28.229747975,0.057801444,0.044952683,0.070892408
28.280940594,0.057966713,0.044952683,0.070892408
28.332133213,0.058132213,0.045144804,0.070892408
28.383325833,0.058307000,0.045188285,0.072041169
28.434518452,0.058458932,0.045256745,0.072041169
28.485711071,0.058628429,0.045418952,0.072173916
28.536903690,0.058799740,0.045454547,0.072173916
28.588096310,0.058986045,0.045741323,0.072173916
28.639288929,0.059140272,0.046025105,0.072236724
28.690481548,0.059313986,0.046207499,0.072308958
28.741674167,0.059458189,0.046207499,0.072916664
28.792866787,0.059634708,0.046222221,0.073043481
28.844059406,0.059782837,0.046666667,0.073130652
28.895252025,0.059931379,0.046861924,0.073228344
28.946444644,0.060082044,0.046956521,0.073306777
28.997637264,0.060193554,0.046956521,0.073306777
29.048829883,0.060358711,0.047048759,0.073640168
29.100022502,0.060495369,0.047048759,0.073640168
29.151215122,0.060618475,0.047048759,0.073756434
29.202407741,0.060738847,0.047185432,0.073946692
29.253600360,0.060884040,0.047619049,0.073979594
29.304792979,0.060992766,0.047698744,0.074103586
29.355985599,0.061098590,0.047904193,0.074789919
29.407178218,0.061215468,0.047904193,0.074803151
29.458370837,0.061311599,0.047904193,0.074803151
29.509563456,0.061413787,0.047904193,0.074806534
29.560756076,0.061532721,0.048027445,0.075040780
29.611948695,0.061633240,0.048333332,0.075062551
29.663141314,0.061731096,0.048414022,0.075425789
29.714333933,0.061842524,0.048414022,0.075440064
29.765526553,0.061949957,0.048490394,0.075440064
